State,latitude,longitude,No_of_MFIs,Amount_Disbursed_in_crore_Rs,GLP_Crore_Rs,Active_borrowers-in_lakh 
Andhra Pradesh ,14.7504291,78.57002559,4,333,786,3
Arunachal Pradesh ,27.10039878,93.61660071,2,1,4,0.01
Assam ,26.7499809,94.21666744,24,344,2326,13
Bihar ,25.78541445,87.4799727,39,2756,8324,37
Chandigarh ,30.71999697,76.78000565,2,0.4,5,0.02
Chhattisgarh ,22.09042035,82.15998734,27,563,1993,9
Delhi ,28.6699929,77.23000403,3,41,202,0.09
Goa ,15.491997,73.81800065,6,13,58,0.26
Gujarat ,22.2587,71.1924,18,404,1402,6
Haryana ,28.45000633,77.01999101,19,321,1058,4
Himachal Pradesh ,31.10002545,77.16659704,7,10,30,0.14
Jammu & Kashmir ,34.29995933,74.46665849,3,7,15,0.06
Jharkhand ,23.80039349,86.41998572,26,589,1841,8
Karnataka ,12.57038129,76.91999711,23,6426,19866,55
Kerala ,8.900372741,76.56999263,19,547,2492,10
Madhya Pradesh ,21.30039105,76.13001949,29,1612,5223,22
Maharashtra ,19.25023195,73.16017493,25,1807,5897,22
Manipur ,24.79997072,93.95001705,6,22,68,0.48
Meghalaya ,25.57049217,91.8800142,9,8,35,0.19
Mizoram ,23.71039899,92.72001461,4,3,21,0.11
Nagaland ,25.6669979,94.11657019,1,1,4,0.02
Odisha ,19.82042971,85.90001746,28,1816,5884,28
Puducherry ,11.93499371,79.83000037,16,33,171,1
Punjab ,31.51997398,75.98000281,14,592,1866,8
Rajasthan ,26.44999921,74.63998124,23,961,2875,12
Sikkim ,27.3333303,88.6166475,6,6,15,0.08
Tamil Nadu ,12.92038576,79.15004187,32,2189,8243,35
Tripura ,23.83540428,91.27999914,13,125,516,2
Uttar Pradesh ,27.59998069,78.05000565,31,2358,6692,33
Uttarakhand ,30.32040895,78.05000565,13,75,278,1
West Bengal ,22.58039044,88.32994665,31,1529,5591,22
Telangana ,18.1124,79.0193,5,31,92,0.17
